query	superkingdom	kingdom	subkingdom	superphylum	phylum	subphylum	superclass	class	subclass	infraclass	cohort	subcohort	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	genus	subgenus	section	subsection	series	species group	species subgroup	species	subspecies	varietas	forma	forma specialis	strain	isolate
otu_139	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Percopsiformes	Percopsiformes	Percopsiformes	Percopsoidei	Percopsidae	Percopsidae	Percopsidae	Percopsidae	Percopsis	Percopsis	Percopsis	Percopsis	Percopsis transmontana	Percopsis transmontana	Percopsis transmontana	Percopsis transmontana	Percopsis transmontana	Percopsis transmontana	Percopsis transmontana	unidentified Percopsis transmontana	unidentified Percopsis transmontana	unidentified Percopsis transmontana	unidentified Percopsis transmontana	unidentified Percopsis transmontana	unidentified Percopsis transmontana
otu_140	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Johnius	Johnius	Johnius	Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius	unidentified Johnius
otu_141	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha	unidentified Euteleosteomorpha
otu_142	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Zeiformes	Zeiformes	Zeiformes	Parazenidae	Parazenidae	Parazenidae	Parazenidae	Parazenidae	Parazeninae	Parazen	Parazen	Parazen	Parazen pacificus	Parazen pacificus	Parazen pacificus	Parazen pacificus	Parazen pacificus	Parazen pacificus	Parazen pacificus	unidentified Parazen pacificus	unidentified Parazen pacificus	unidentified Parazen pacificus	unidentified Parazen pacificus	unidentified Parazen pacificus	unidentified Parazen pacificus
otu_143	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Blenniiformes	Blenniiformes	Blenniiformes	Blennioidei	Blenniidae	Blenniidae	Blenniidae	Blenniidae	Salariinae	Salarias	Salarias	Salarias	Salarias fasciatus	Salarias fasciatus	Salarias fasciatus	Salarias fasciatus	Salarias fasciatus	Salarias fasciatus	Salarias fasciatus	unidentified Salarias fasciatus	unidentified Salarias fasciatus	unidentified Salarias fasciatus	unidentified Salarias fasciatus	unidentified Salarias fasciatus	unidentified Salarias fasciatus
otu_144	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Chondrostei	Acipenseriformes	Acipenseriformes	Acipenseriformes	Acipenseriformes	Acipenseriformes	Acipenseroidei	Acipenseridae	Acipenseridae	Acipenseridae	Acipenseridae	Acipenserinae	Acipenserini	Acipenser	Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser	unidentified Acipenser
otu_145	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Centrarchiformes	Centrarchiformes	Centrarchiformes	Centrarchoidei	Centrarchoidei	Centrarchoidei	Centrarchoidei	Centrarchidae	Micropterus	Micropterus	Micropterus	Micropterus	Micropterus dolomieu	Micropterus dolomieu	Micropterus dolomieu	Micropterus dolomieu	Micropterus dolomieu	Micropterus dolomieu	Micropterus dolomieu	unidentified Micropterus dolomieu	unidentified Micropterus dolomieu	unidentified Micropterus dolomieu	unidentified Micropterus dolomieu	unidentified Micropterus dolomieu	unidentified Micropterus dolomieu
otu_146	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Cynoglossidae	Cynoglossidae	Cynoglossidae	Cynoglossidae	Cynoglossinae	Cynoglossus	Cynoglossus	Cynoglossus	Cynoglossus quadrilineatus	Cynoglossus quadrilineatus	Cynoglossus quadrilineatus	Cynoglossus quadrilineatus	Cynoglossus quadrilineatus	Cynoglossus quadrilineatus	Cynoglossus quadrilineatus	unidentified Cynoglossus quadrilineatus	unidentified Cynoglossus quadrilineatus	unidentified Cynoglossus quadrilineatus	unidentified Cynoglossus quadrilineatus	unidentified Cynoglossus quadrilineatus	unidentified Cynoglossus quadrilineatus
otu_147	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Sphyraenidae	Sphyraenidae	Sphyraenidae	Sphyraenidae	Sphyraenidae	Sphyraenidae	Sphyraenidae	Sphyraenidae	Sphyraena	Sphyraena	Sphyraena	Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena	unidentified Sphyraena
otu_148	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Esociformes	Esociformes	Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes
