query	superkingdom	kingdom	subkingdom	superphylum	phylum	subphylum	superclass	class	subclass	infraclass	cohort	subcohort	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	genus	subgenus	section	subsection	series	species group	species subgroup	species	subspecies	varietas	forma	forma specialis	strain	isolate
otu_063	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Syngnathiformes	Syngnathiformes	Syngnathiformes	Aulostomidae	Aulostomidae	Aulostomidae	Aulostomidae	Aulostomidae	Aulostomus	Aulostomus	Aulostomus	Aulostomus	Aulostomus chinensis	Aulostomus chinensis	Aulostomus chinensis	Aulostomus chinensis	Aulostomus chinensis	Aulostomus chinensis	Aulostomus chinensis	unidentified Aulostomus chinensis	unidentified Aulostomus chinensis	unidentified Aulostomus chinensis	unidentified Aulostomus chinensis	unidentified Aulostomus chinensis	unidentified Aulostomus chinensis
otu_064	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Characiphysae	Gymnotiformes	Sternopygoidei	Sternopygidae	Sternopygidae	Sternopygidae	Sternopygidae	Eigenmannia	Eigenmannia	Eigenmannia	Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia
otu_065	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei	unidentified Teleostei
otu_066	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Stomiiformes	Stomiiformes	Stomiiformes	Gonostomatidae	Gonostomatidae	Gonostomatidae	Gonostomatidae	Gonostomatidae	Sigmops	Sigmops	Sigmops	Sigmops	Sigmops gracilis	Sigmops gracilis	Sigmops gracilis	Sigmops gracilis	Sigmops gracilis	Sigmops gracilis	Sigmops gracilis	unidentified Sigmops gracilis	unidentified Sigmops gracilis	unidentified Sigmops gracilis	unidentified Sigmops gracilis	unidentified Sigmops gracilis	unidentified Sigmops gracilis
otu_067	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Galaxiiformes	Galaxiiformes	Galaxiiformes	Galaxiidae	Galaxiidae	Galaxiidae	Galaxiidae	Galaxiidae	Galaxiinae	Galaxiini	Galaxias	Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias	unidentified Galaxias
otu_068	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Anguilliformes	Anguilliformes	Anguilliformes	Anguilliformes	Muraenidae	Muraenidae	Muraenidae	Muraenidae	Muraenidae	Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae	unidentified Uropterygiinae
otu_069	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Lobotiformes	Lobotiformes	Lobotiformes	Lobotidae	Lobotidae	Lobotidae	Lobotidae	Lobotidae	Lobotes	Lobotes	Lobotes	Lobotes	Lobotes surinamensis	Lobotes surinamensis	Lobotes surinamensis	Lobotes surinamensis	Lobotes surinamensis	Lobotes surinamensis	Lobotes surinamensis	unidentified Lobotes surinamensis	unidentified Lobotes surinamensis	unidentified Lobotes surinamensis	unidentified Lobotes surinamensis	unidentified Lobotes surinamensis	unidentified Lobotes surinamensis
otu_070	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Cynoglossidae	Cynoglossidae	Cynoglossidae	Cynoglossidae	Cynoglossinae	Cynoglossus	Cynoglossus	Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus	unidentified Cynoglossus
otu_071	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gobiiformes	Gobiiformes	Gobiiformes	Eleotroidei	Eleotridae	Eleotridae	Eleotridae	Eleotridae	Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae	unidentified Eleotrinae
otu_072	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Scombriformes	Scombriformes	Scombriformes	Scombridae	Scombridae	Scombridae	Scombridae	Scombridae	Scombrinae	Scombrini	Scomber	Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber	unidentified Scomber
